age,past_temp,past_co2,modern_co2,present_t,recon_mi
116716.3,11.09825919,268,340,11.5795742,0.482507792
117485.2,11.73392532,268.2,340,11.5795742,0.347674884
118271.7,12.31862745,268.3,340,11.5795742,0.338948493
118760.7,11.77726666,268.3,340,11.5795742,0.338010799
119547.2,10.13937104,268.3,340,11.5795742,0.542676724
120190.6,12.4968927,268.1,340,11.5795742,0.272493114
120787,13.13667566,267.9,340,11.5795742,0.275697352
121607.2,11.65031158,267.4,340,11.5795742,0.388215816
122274.4,13.44005405,266.9,340,11.5795742,0.292517981
122671.2,11.66932912,266.5,340,11.5795742,0.420240944
122942.9,12.67559566,266.2,340,11.5795742,0.254974265
123213.8,11.9964898,265.9,340,11.5795742,0.344271401
123363.9,12.54065547,265.7,340,11.5795742,0.35004009
123573.2,13.19091079,265.5,340,11.5795742,0.196462421
124848.8,12.9353352,263.7,340,11.5795742,0.290054138
125110,13.48967381,263.3,340,11.5795742,0.201296177
125205.7,12.54109451,263.1,340,11.5795742,0.295852195
125476.3,13.59138641,262.7,340,11.5795742,0.159891476
125785.6,11.9403321,262.2,340,11.5795742,0.32958556
125975.8,11.86702213,261.9,340,11.5795742,0.408733814
125989.1,13.77526315,261.9,340,11.5795742,0.202364958
126136.8,11.53469563,261.6,340,11.5795742,0.284477226
126303.9,12.44669033,261.3,340,11.5795742,0.273586516
126390.5,11.47239071,261.2,340,11.5795742,0.345020302
126448.8,11.71425838,261.1,340,11.5795742,0.397430714
126654,11.0118979,260.7,340,11.5795742,0.384822029
126690.4,12.1993576,260.6,340,11.5795742,0.285684125
126747.1,12.35808689,260.5,340,11.5795742,0.277650213
126937,12.06751406,260.2,340,11.5795742,0.304226981
126980.1,12.00355485,260.1,340,11.5795742,0.314150921
127060.4,14.01001142,260,340,11.5795742,0.215912545
127265.1,15.08898083,259.6,340,11.5795742,0.174238711
127457.6,13.81827752,259.2,340,11.5795742,0.219527292
127505.4,13.71752399,259.1,340,11.5795742,0.205314103
127541.7,14.6129871,259,340,11.5795742,0.165922774
127553.3,14.62496276,259,340,11.5795742,0.136888236
127678.4,12.64410759,258.8,340,11.5795742,0.354305374
127814.3,13.01374898,258.5,340,11.5795742,0.321158816
128021,11.50451284,258.1,340,11.5795742,0.329153504
128071.6,11.83584319,258,340,11.5795742,0.381778265
128117.9,10.85343743,257.9,340,11.5795742,0.452840318
128204,10.8653023,257.7,340,11.5795742,0.471598912
128253.7,12.73531048,257.6,340,11.5795742,0.311456293
128341.2,13.09325312,257.4,340,11.5795742,0.295294259
128392.1,15.18511519,257.3,340,11.5795742,0.174431044
128520.6,16.00047012,257,340,11.5795742,0.130929533
128828.1,12.83927204,256.4,340,11.5795742,0.281907894
128949.6,12.83110596,256.1,340,11.5795742,0.281062195
129007.1,12.15021268,256,340,11.5795742,0.33853816
129070.4,12.54696986,255.8,340,11.5795742,0.296081958
129202.7,12.37752376,255.5,340,11.5795742,0.380161286
129328.7,11.47379287,255.2,340,11.5795742,0.398813733
129389.1,11.29067065,255.1,340,11.5795742,0.451454262
129476.1,11.06139297,254.9,340,11.5795742,0.459577633
129526.9,10.48533837,254.8,340,11.5795742,0.521900636
129828.4,11.84908739,254,340,11.5795742,0.362248726
129954.4,9.962512005,253.7,340,11.5795742,0.518731668
130075.3,10.91196847,253.4,340,11.5795742,0.417032271
130212.2,11.92313241,253.1,340,11.5795742,0.402387171
130382.3,11.30877672,252.7,340,11.5795742,0.408378969
130454.1,12.06439268,252.5,340,11.5795742,0.357499109
130909.1,12.06329285,251.3,340,11.5795742,0.383067593
131044,11.64726846,250.9,340,11.5795742,0.377609871
131118.7,10.95915671,250.7,340,11.5795742,0.467571795
131192.4,10.61706868,250.5,340,11.5795742,0.446161424
131270.6,12.91414112,250.3,340,11.5795742,0.335723067
