age_calBP,palaeo_co2,palaeo_MGS_temp,modern_co2,modern_MGS_temp,recon_mi,recon_Pann,corr_mi,est_Pann
12548,247.095,13.266216988670902,311.765,13.5442481884058,0.6104173,580.6471,0.7342405149369504,523.9784797437028
12737,244.445,13.310121017268468,311.765,13.5442481884058,0.56032,531.1387,0.6936089930492781,503.4220880896987
12927,238.485,13.398367097244833,311.765,13.5442481884058,0.7353834,671.8961,0.8925061377280634,589.4233604319456
13116,238.19,13.049074207956009,311.765,13.5442481884058,0.7079373,663.4637,0.8439121951952935,574.3823653044091
13331,236.86,13.343179342691665,311.765,13.5442481884058,0.7216559,658.5455,0.8799384715504895,596.2965948232119
13590,243.86,12.008585593421262,311.765,13.5442481884058,0.7688588,650.2817,0.8246797776867019,580.8374884427691
13850,238.515,12.040087949444604,311.765,13.5442481884058,0.7732308,627.7127,0.8457673750481071,572.8826102504696
14109,234.64,11.449481625159873,311.765,13.5442481884058,0.794895,649.0931,0.8417454491986898,590.8359770097724
14369,239.36,12.195732690297868,311.765,13.5442481884058,0.7913471,639.3712,0.8710725586455187,595.354968880386
14578,238.87,10.239288343449811,311.765,13.5442481884058,0.5087981,404.7196,0.47696888823538125,345.65415222280143
14757,227.9,10.307508963406708,311.765,13.5442481884058,0.4701792,381.768,0.4736902450649663,346.8362551066215
14936,228.68,10.765795445161318,311.765,13.5442481884058,0.4698498,386.1915,0.4976558667724588,363.6096382358746
15115,232.07,10.603367328937194,311.765,13.5442481884058,0.4666316,379.1291,0.4753819468450581,350.3117437698409
15295,226.70499999999998,10.113953609598633,311.765,13.5442481884058,0.4651172,373.2063,0.46104798712828904,330.57735107424793
15317,227.64,10.510248347945467,311.765,13.5442481884058,0.5454642,415.9699,0.5599305829750317,374.4079243333107
15339,228.27999999999997,10.636227777026289,311.765,13.5442481884058,0.4719894,365.1981,0.4933967513971615,349.75561291937237
15362,227.15499999999997,9.718953279223342,311.765,13.5442481884058,0.4419405,335.6987,0.4145271990916782,302.6452728642192
15384,225.065,10.539899422600277,311.765,13.5442481884058,0.4556153,360.9716,0.481217967937089,346.61551738181026
15407,225.065,10.654296183395239,311.765,13.5442481884058,0.4382268,356.2088,0.47078495981625595,346.3633131908432
15429,224.005,10.76767355816764,311.765,13.5442481884058,0.456717,370.421,0.49871597255726924,361.49249525321744
15451,224.005,10.56295397049346,311.765,13.5442481884058,0.4322369,349.7368,0.4627942047725429,341.3405337070295
15474,223.27,10.695030519090412,311.765,13.5442481884058,0.4554099,363.2278,0.4954254896216898,340.14129376478274
15496,223.4,10.377677503608593,311.765,13.5442481884058,0.4693971,380.047,0.4902907112787305,345.7341270462606
15518,223.4,10.773268675811906,311.765,13.5442481884058,0.4751379,380.9936,0.51898998450173,353.9031297042287
15541,223.4,10.810594917933914,311.765,13.5442481884058,0.4672453,375.0532,0.5134085457862027,356.1873996713189
15563,223.14499999999998,10.185927606563544,311.765,13.5442481884058,0.442889,349.9122,0.45402859671829654,328.6895436147463
15586,223.14499999999998,11.12473321316779,311.765,13.5442481884058,0.4908755,400.9151,0.5559203928095343,383.84991828235934
15608,223.14499999999998,11.93536506864347,311.765,13.5442481884058,0.4745624,376.6003,0.5877322009517619,403.4087084396383
15630,222.76,11.456396206134915,311.765,13.5442481884058,0.3846061,312.0294,0.4713694457887452,340.8296000723591
15653,222.45999999999998,11.500778570328695,311.765,13.5442481884058,0.4059562,331.6249,0.49605064124752735,345.89635931299966
15698,222.45999999999998,11.226956821490802,311.765,13.5442481884058,0.4550534,358.6714,0.5286479524966873,373.34230658750437
15832,223.61,10.56015588346647,311.765,13.5442481884058,0.3715463,295.1067,0.4042801992594827,296.6081111952168
15877,222.935,11.321145520409274,311.765,13.5442481884058,0.3866602,313.7987,0.46502008218252117,328.8948097139286
16011,223.39999999999998,10.335111192233276,311.765,13.5442481884058,0.4485396,349.147,0.46740702822864716,320.02683092658697
16190,224.405,11.023666298825919,311.765,13.5442481884058,0.4325579,343.9236,0.4886167723203713,333.5235906575023
16388,210.36,10.898786754264671,311.765,13.5442481884058,0.3743157,296.5703,0.4687476563064323,319.4848844136961
16592,208.46,10.84310780165224,311.765,13.5442481884058,0.405651,318.1669,0.5029201859740203,332.3258173334455
16796,207.89,11.051718719617263,311.765,13.5442481884058,0.3742106,291.529,0.4860528862674677,322.9234012153073
17000,204.32,11.053535930186444,311.765,13.5442481884058,0.3690658,290.7584,0.49363890058641796,325.94153866350393
17204,198.45999999999998,10.25633876369437,311.765,13.5442481884058,0.3934976,307.0949,0.49213474720864636,321.3421054526677
17408,192.45499999999998,10.011196348926715,311.765,13.5442481884058,0.3879071,299.1497,0.495033803887598,317.5660733291522
17612,195.79,9.688877513783716,311.765,13.5442481884058,0.4312829,335.135,0.5056727905060029,333.6189626748458
17816,189.23000000000002,10.056964242228956,311.765,13.5442481884058,0.3711237,291.5426,0.4940448243778915,321.6871018183148
18020,188.375,10.017039629407686,311.765,13.5442481884058,0.4069588,314.2815,0.5303886278516536,343.43427757461217
18224,187.265,9.683744086374118,311.765,13.5442481884058,0.4074088,313.022,0.515456095816563,331.5056867658178
18428,187.95999999999998,9.360746117814099,311.765,13.5442481884058,0.3816363,291.5168,0.46826902410805954,307.26678334844274
18632,191.235,10.143185860012778,311.765,13.5442481884058,0.4109214,323.331,0.5303244413113419,347.49804924887457
19040,191.9,9.919832799363377,311.765,13.5442481884058,0.3446474,267.5633,0.4493287542906412,297.60137093295174
19244,191.335,10.234145346199984,311.765,13.5442481884058,0.3499654,274.9005,0.4752935049011527,309.8043146060637
19448,190.235,9.619729500708337,311.765,13.5442481884058,0.3497317,261.6832,0.44324444368366356,293.45175480249804
19652,191.42,10.059558933493506,311.765,13.5442481884058,0.3022315,236.3271,0.41771302274529015,287.119428109283
19856,194.82999999999998,9.409041836243231,311.765,13.5442481884058,0.3569768,272.7675,0.4203085739454994,288.0860737912826
20060,192.095,10.026597373713617,311.765,13.5442481884058,0.340256,269.0825,0.45052162519006794,300.40713650384214
20264,190.23000000000002,9.77006735388361,311.765,13.5442481884058,0.3238047,250.5088,0.42666930148771476,289.7532552396052
20454,191.96,9.235205723784746,311.765,13.5442481884058,0.3555843,268.7711,0.41976061433842077,286.86164594049666
20621,190.845,9.097524073537564,311.765,13.5442481884058,0.3936621,293.6537,0.4530966190138548,297.2758826891644
20788,190.20999999999998,9.228257943471288,311.765,13.5442481884058,0.4183326,313.2123,0.48729575488693244,317.1259549362587
20955,190.87,9.336701981914109,311.765,13.5442481884058,0.3756592,280.658,0.44948777525289274,295.56591526818664
21121,189.22500000000002,9.01037543829585,311.765,13.5442481884058,0.4338236,325.3255,0.493379716402117,318.3359218027112
21288,188.645,10.248789523385646,311.765,13.5442481884058,0.3503193,277.685,0.4873016738064341,314.5271283434482
21459,186.235,9.417772848981798,311.765,13.5442481884058,0.3666595,287.2509,0.4639954905797219,306.7321611466873
21628,186.595,9.747203087172286,311.765,13.5442481884058,0.4297748,338.0219,0.5439386193743228,346.25650125506627
21793,189.37,10.233587141679113,311.765,13.5442481884058,0.371024,289.9326,0.5038783554235409,325.5827985949891
21961,189.07999999999998,9.849288244089815,311.765,13.5442481884058,0.3720975,291.2695,0.48329479979246737,320.0122397324902
22117,189.325,9.524080965143817,311.765,13.5442481884058,0.3403084,259.6103,0.43202316967059473,295.23826658246173
22286,189.245,9.847777222695202,311.765,13.5442481884058,0.3678182,284.8942,0.4783420816915963,310.7078682965221
22451,185.85000000000002,10.455059061009235,311.765,13.5442481884058,0.3863056,304.9136,0.5467457483830326,344.7492371342511
22621,186.85000000000002,10.801067666681485,311.765,13.5442481884058,0.4695378,371.4407,0.6460813704906339,400.9845758460339
22794,188.07,9.925817397801994,311.765,13.5442481884058,0.380229,296.1362,0.4999055356128577,323.27485334527057
22962,189.4,9.12315945427841,311.765,13.5442481884058,0.3679825,273.8504,0.4352678841609892,287.3072419978858
23129,189.34,9.352415455024355,311.765,13.5442481884058,0.3461524,262.1023,0.4276316691188883,291.2156041507364
23291,195.6,9.801208641501821,311.765,13.5442481884058,0.3728354,285.9903,0.45580159457791986,307.8752139524038
23463,186.78,9.959096053566263,311.765,13.5442481884058,0.3854142,293.2969,0.5122686079869555,331.2257485431488
23663,185.56,10.538264886056574,311.765,13.5442481884058,0.3843895,302.3884,0.5510850670415819,356.4277799902285
23987,183.905,10.253437254302884,311.765,13.5442481884058,0.3659864,284.7319,0.5227800031166477,327.37226607056556
24300,186.73,10.27210570736013,311.765,13.5442481884058,0.3867717,301.3982,0.5325339280661243,331.08353641623194
24620,183.64999999999998,10.8354338985778,311.765,13.5442481884058,0.352937,286.8193,0.545968962663077,340.3798249270344
24931,180.63,10.6930796747267,311.765,13.5442481884058,0.3759896,300.6213,0.5735241371453812,349.9390910125402
25106,180.69,10.192470346189467,311.765,13.5442481884058,0.4148334,325.134,0.5813092259550505,361.8285791108189
25198,181.675,10.81772759657975,311.765,13.5442481884058,0.3907004,306.863,0.5911075928818226,360.3118413291283
