"age_calBP","past_temp","past_co2","modern_co2","present_t","recon_mi","corrected_mi","corrected_P_ann"
3564,13.47513,274.2,332.1725,13.47513,0.432065,0.538856989039136,659.737353812097
3609,12.88527,274.2,332.1725,12.88527,0.440593,0.546355531753653,628.914065905496
3656,13.071425,273.2,332.1725,13.071425,0.40264,0.510643737166547,577.974543857815
3699,13.43447,273,332.1725,13.43447,0.430108,0.53946519106131,645.8899981487
3741,13.080005,272.25,332.1725,13.080005,0.444006,0.55445874461227,637.876185232666
3782,13.31291,271.5,332.1725,13.31291,0.481336,0.594226200908349,658.087468602409
3822,13.55943,273.45,332.1725,13.55943,0.434527,0.543160235906553,623.922956846616
3863,13.483015,275.4,332.1725,13.483015,0.433829,0.538011206266626,629.560008347189
3903,11.90296,275.15,332.1725,11.90296,0.493315,0.595689772734241,676.486420684173
3943,12.88846,275.15,332.1725,12.88846,0.422033,0.525591122962125,616.360586480604
3984,13.12982,273.3,332.1725,13.12982,0.441372,0.549572209139103,637.546695206444
4023,13.747505,273.3,332.1725,13.747505,0.416761,0.525951181715401,622.84858258374
4062,14.56301,273.3,332.1725,14.56301,0.412826,0.52361198626416,624.983122719205
4101,14.015225,271.7,332.1725,14.015225,0.426782,0.540186261361749,651.249342456334
4139,14.57293,271.65,332.1725,14.57293,0.424069,0.538725649004,649.621556991038
4176,13.604615,271.65,332.1725,13.604615,0.418275,0.530889820224937,616.823465024003
4212,13.041955,272.2,332.1725,13.041955,0.481193,0.591984424185539,689.219157305831
4251,15.26802,272.2,332.1725,15.26802,0.400423,0.515105661779832,629.797563811695
4284,13.49928,272.15,332.1725,13.49928,0.491962,0.603846699873339,681.234649715632
4317,14.60053,272.15,332.1725,14.60053,0.360241,0.47328215843894,624.309250089663
4347,14.278675,271.5,332.1725,14.278675,0.436612,0.551098201060532,627.320838472338
4376,14.787685,271.5,332.1725,14.787685,0.458481,0.57423017186686,654.98393169832
4404,13.491295,271.3,332.1725,13.491295,0.494253,0.608058128768556,680.020771755423
4429,13.935795,271.3,332.1725,13.935795,0.40768,0.5216691065778,623.768738676119
4452,14.553305,271.3,332.1725,14.553305,0.407926,0.523207659774299,639.777155610768
4474,14.55879,271.1,332.1725,14.55879,0.38147,0.496998341222289,623.02306019477
4494,15.04537,271.1,332.1725,15.04537,0.388216,0.504853339420204,636.025268931862
4513,15.631435,270.1,332.1725,15.631435,0.451673,0.572524083480787,692.69794993409
4531,14.992585,270.1,332.1725,14.992585,0.475532,0.595134342544469,693.056451600656
4547,15.08624,270.1,332.1725,15.08624,0.446055,0.565611051619831,672.155991148151
4562,14.74175,270.1,332.1725,14.74175,0.460775,0.579690887680949,689.215383603775
4577,15.33733,269.1,332.1725,15.33733,0.456752,0.579335293389313,668.388282645766
4591,14.744645,269.1,332.1725,14.744645,0.486113,0.607597442092167,707.697724839992
4616,15.537315,269.45,332.1725,15.537315,0.435921,0.557954822043889,688.985332256237
4629,15.2893,269.45,332.1725,15.2893,0.418996,0.540304434413527,636.888320257637
4642,15.23648,269.45,332.1725,15.23648,0.390457,0.511391546055233,661.38132688704
4655,14.2175,269.8,332.1725,14.2175,0.481282,0.599926460837877,738.309853477489
4667,13.929305,269.8,332.1725,13.929305,0.50018,0.618369014759425,702.153825226179
4679,14.45634,269.8,332.1725,14.45634,0.477212,0.59634086411276,726.18294927569
4693,15.862295,270.65,332.1725,15.862295,0.481918,0.602265883884082,689.630541657157
4707,14.11713,270.65,332.1725,14.11713,0.448255,0.564444509639121,683.135823810906
4723,14.41147,270.65,332.1725,14.41147,0.462332,0.579267180238594,730.017826655297
4756,14.79502,270.65,332.1725,14.79502,0.535625,0.654020529684833,759.226714717598
4890,14.83437,270.7,332.1725,14.83437,0.650277,0.769624863385189,851.816557482701
5015,16.79089,268.95,332.1725,16.79089,0.458337,0.584830678203848,693.806091648539
5202,14.724575,269.8,332.1725,14.724575,0.510507,0.630517801601513,706.086269205265
5403,15.916575,265.3,332.1725,15.916575,0.451895,0.585048706399531,681.819085820722
5596,13.19767,267.6,332.1725,13.19767,0.580824,0.703244926364123,827.652869956054
5763,14.989795,265.7,332.1725,14.989795,0.49006,0.620266830048327,711.886743990922
5879,14.690215,263.1,332.1725,14.690215,0.633639,0.770849302402172,846.562093414565
5953,16.61049,263.7,332.1725,16.61049,0.48872,0.628104116017412,714.800014188526
6007,14.79768,266.7,332.1725,14.79768,0.526236,0.653907397295164,756.637895126143
6056,15.365505,266.1,332.1725,15.365505,0.462299,0.592199249426942,692.986066499145
6118,15.52641,265.5,332.1725,15.52641,0.467143,0.598953455027485,714.085278675047
6206,16.86123,264.35,332.1725,16.86123,0.391183,0.528640207199423,661.43169527543
6338,15.520625,262.7,332.1725,15.520625,0.510261,0.649406298996348,738.844895443987
6523,15.196245,261.15,332.1725,15.196245,0.454215,0.595798088073605,697.900236566194
6729,14.75183,260.75,332.1725,14.75183,0.572781,0.715398538156676,799.34824553814
7025,16.29216,257.85,332.1725,16.29216,0.500633,0.654326408556422,758.349084909353
7198,15.048425,262.65,332.1725,15.048425,0.54817,0.686572873242863,768.671793775173
7311,15.212085,261.85,332.1725,15.212085,0.556734,0.697655044377643,754.641973140963
7457,13.652665,259.55,332.1725,13.652665,0.474606,0.616330272176041,687.365788411195
7630,15.5638,260.1,332.1725,15.5638,0.496452,0.642139807508736,721.443010513595
7821,16.512985,260.05,332.1725,16.512985,0.573211,0.722593402808184,807.156134601146
8024,15.15452,260.2,332.1725,15.15452,0.577937,0.723088704849092,807.221364410381
8233,16.430325,259.3,332.1725,16.430325,0.492751,0.642975737702181,744.035268648965
8442,15.36873,259.8,332.1725,15.36873,0.507928,0.653954907199207,757.160529573025
8847,14.77284,259.95,332.1725,14.77284,0.609482,0.754554260085446,848.087086894861
9040,14.501085,259.85,332.1725,14.501085,0.580817,0.725110697728774,772.940635646199
9205,14.772915,262.85,332.1725,14.772915,0.58561,0.723176043034477,812.63667739104
9340,16.11446,263.75,332.1725,16.11446,0.519646,0.657850684851786,722.884279898262
9441,15.439775,262.9,332.1725,15.439775,0.577847,0.716955238104853,785.917794013846
9522,14.95168,260.75,332.1725,14.95168,0.548766,0.691670986588084,779.340170070881
9589,15.20505,263.8,332.1725,15.20505,0.450967,0.585968464128069,690.448699338348
9654,15.01793,263.8,332.1725,15.01793,0.546659,0.682121333569561,754.166834618001
9723,15.199465,263.8,332.1725,15.199465,0.569147,0.705295961176767,766.971732089673
9806,15.815015,264.4,332.1725,15.815015,0.41758,0.552355124166167,663.336731589391
9823,14.884225,264.4,332.1725,14.884225,0.487888,0.620970251125966,743.648938847899
9843,16.1204,264.4,332.1725,16.1204,0.480904,0.61711090472351,654.188580270149
9862,14.43782,264.4,332.1725,14.43782,0.524941,0.657279157331019,737.849353250058
9882,14.242735,264.4,332.1725,14.242735,0.593003,0.725519276981957,776.065570017966
9903,15.79338,264.3,332.1725,15.79338,0.493796,0.629511690446187,722.784202414297
9925,16.45726,264.3,332.1725,16.45726,0.428127,0.564969030469176,661.129114465884
9951,15.717115,264.3,332.1725,15.717115,0.473277,0.608590741383255,665.21827764277
9975,15.131305,264.3,332.1725,15.131305,0.45373,0.587345491957811,660.556237650549
10001,15.32346,264.2,332.1725,15.32346,0.53291,0.6680340051005,728.178501414544
10028,14.871245,264.1,332.1725,14.871245,0.558392,0.692859183708903,746.977174828876
10057,17.51124,264.1,332.1725,17.51124,0.414236,0.554404516548214,611.456911152781
10089,15.60559,264.1,332.1725,15.60559,0.595404,0.73212341043415,793.612018609725
10120,16.048725,264,332.1725,16.048725,0.350761,0.486481584307828,576.134242645677
10153,16.0087,263.7,332.1725,16.0087,0.473838,0.611424736135919,658.550215283687
10187,15.144115,263.7,332.1725,15.144115,0.481948,0.617343883266082,662.61339404008
10222,16.486195,264.55,332.1725,16.486195,0.392532,0.528473425837889,621.683153174856
10262,17.04191,264.55,332.1725,17.04191,0.394061,0.531545416375695,632.141675627563
10299,15.63706,265.7,332.1725,15.63706,0.427851,0.559076513719485,671.308395114767
10337,15.631225,265.3,332.1725,15.631225,0.426451,0.558625604160343,637.959554519852
10376,15.55998,264.9,332.1725,15.55998,0.479709,0.613197512810586,714.398130454229
10415,16.365245,266.2,332.1725,16.365245,0.41497,0.546715547239543,628.507471002044
10458,16.276965,266.2,332.1725,16.276965,0.484494,0.616676217850979,690.794107529035
10497,16.349345,266.2,332.1725,16.349345,0.438019,0.569944284391506,636.16945795336
10536,16.27834,267.2,332.1725,16.27834,0.464915,0.594452103400736,685.559273906562
10612,16.047825,267.2,332.1725,16.047825,0.503634,0.632949185301541,680.630819365842
10690,16.48535,266.45,332.1725,16.48535,0.448163,0.579923226602702,633.378394679847
10762,16.975485,266,332.1725,16.975485,0.435743,0.56980940568718,670.355083744847
10835,17.66838,265.55,332.1725,17.66838,0.473725,0.611232051712293,684.400550711714
10904,15.477845,266.35,332.1725,15.477845,0.524962,0.655124563171189,721.559002464735
10972,15.78077,266.2,332.1725,15.78077,0.567718,0.699415543846596,742.730624760187
11044,17.06245,266.2,332.1725,17.06245,0.422194,0.555863861921496,618.076207912946
11113,14.07146,264.8,332.1725,14.07146,0.541849,0.672501858111114,735.557168541391
11187,16.074465,265.15,332.1725,16.074465,0.490152,0.624460587024457,724.00186113003
11258,17.40549,264.4,332.1725,17.40549,0.513015,0.653110070264084,648.0763047449
11333,15.502385,264.455,332.1725,15.502385,0.543125,0.678180154317441,680.124322787448
11414,14.840655,266.32,332.1725,14.840655,0.487248,0.615572214217145,658.596119405396
11499,15.36493,267.415,332.1725,15.36493,0.513904,0.641103099914148,687.952289284489
